2/22/2024 12:27:44 PM#(0.26, 1.07, 0.34)#(0.26, 1.07, 0.34)#(0.25, 1.07, 0.36)#(0.23, 1.06, 0.38)#(0.22, 1.05, 0.40)#(0.22, 1.04, 0.43)#(0.22, 1.09, 0.42)#(0.22, 1.07, 0.45)#(0.22, 1.05, 0.46)#(0.24, 1.10, 0.42)#(0.24, 1.08, 0.46)#(0.24, 1.06, 0.47)#(0.26, 1.10, 0.42)#(0.26, 1.08, 0.45)#(0.25, 1.06, 0.47)#(0.28, 1.08, 0.38)#(0.28, 1.09, 0.42)#(0.28, 1.08, 0.44)#(0.27, 1.06, 0.45)#(0.21, 1.03, 0.45)#(0.23, 1.03, 0.47)#(0.24, 1.03, 0.47)#(0.25, 1.04, 0.47)#(0.26, 1.05, 0.46)
2/22/2024 12:27:44 PM#(0.26, 1.07, 0.34)#(0.26, 1.07, 0.34)#(0.25, 1.07, 0.36)#(0.23, 1.06, 0.37)#(0.22, 1.05, 0.40)#(0.22, 1.04, 0.43)#(0.22, 1.10, 0.42)#(0.22, 1.07, 0.45)#(0.22, 1.05, 0.46)#(0.24, 1.10, 0.42)#(0.24, 1.08, 0.46)#(0.24, 1.06, 0.47)#(0.26, 1.10, 0.42)#(0.26, 1.08, 0.45)#(0.25, 1.06, 0.47)#(0.28, 1.08, 0.38)#(0.28, 1.09, 0.42)#(0.28, 1.08, 0.44)#(0.27, 1.07, 0.45)#(0.21, 1.03, 0.45)#(0.23, 1.03, 0.46)#(0.24, 1.04, 0.47)#(0.25, 1.04, 0.47)#(0.26, 1.05, 0.46)
2/22/2024 12:27:44 PM#(0.26, 1.07, 0.34)#(0.26, 1.07, 0.34)#(0.25, 1.07, 0.36)#(0.23, 1.06, 0.37)#(0.22, 1.05, 0.40)#(0.22, 1.04, 0.43)#(0.22, 1.10, 0.42)#(0.22, 1.07, 0.45)#(0.22, 1.05, 0.46)#(0.24, 1.10, 0.42)#(0.24, 1.08, 0.46)#(0.24, 1.06, 0.46)#(0.26, 1.10, 0.42)#(0.26, 1.09, 0.45)#(0.25, 1.06, 0.47)#(0.28, 1.08, 0.38)#(0.28, 1.09, 0.42)#(0.28, 1.08, 0.44)#(0.27, 1.07, 0.45)#(0.21, 1.03, 0.45)#(0.23, 1.04, 0.46)#(0.24, 1.04, 0.46)#(0.25, 1.04, 0.47)#(0.26, 1.05, 0.46)
2/22/2024 12:27:44 PM#(0.26, 1.07, 0.34)#(0.26, 1.07, 0.34)#(0.25, 1.07, 0.36)#(0.23, 1.06, 0.37)#(0.22, 1.05, 0.40)#(0.22, 1.04, 0.43)#(0.22, 1.10, 0.42)#(0.22, 1.07, 0.45)#(0.22, 1.05, 0.46)#(0.24, 1.10, 0.42)#(0.24, 1.08, 0.46)#(0.24, 1.06, 0.46)#(0.26, 1.10, 0.42)#(0.26, 1.09, 0.45)#(0.25, 1.06, 0.46)#(0.28, 1.08, 0.37)#(0.28, 1.09, 0.42)#(0.28, 1.08, 0.44)#(0.27, 1.07, 0.45)#(0.21, 1.03, 0.45)#(0.22, 1.04, 0.46)#(0.24, 1.04, 0.46)#(0.25, 1.04, 0.46)#(0.26, 1.05, 0.45)
2/22/2024 12:27:44 PM#(0.26, 1.07, 0.34)#(0.26, 1.07, 0.34)#(0.25, 1.07, 0.36)#(0.23, 1.06, 0.37)#(0.22, 1.05, 0.40)#(0.22, 1.04, 0.43)#(0.22, 1.10, 0.42)#(0.22, 1.07, 0.45)#(0.22, 1.05, 0.46)#(0.24, 1.10, 0.42)#(0.24, 1.08, 0.45)#(0.24, 1.06, 0.46)#(0.26, 1.10, 0.42)#(0.26, 1.08, 0.45)#(0.25, 1.06, 0.46)#(0.28, 1.08, 0.37)#(0.28, 1.09, 0.42)#(0.27, 1.08, 0.44)#(0.27, 1.07, 0.45)#(0.21, 1.03, 0.45)#(0.22, 1.04, 0.46)#(0.24, 1.04, 0.46)#(0.25, 1.04, 0.46)#(0.26, 1.05, 0.45)
2/22/2024 12:27:44 PM#(0.26, 1.07, 0.34)#(0.26, 1.07, 0.34)#(0.25, 1.07, 0.36)#(0.23, 1.06, 0.37)#(0.22, 1.05, 0.40)#(0.22, 1.04, 0.43)#(0.22, 1.10, 0.42)#(0.22, 1.07, 0.44)#(0.22, 1.05, 0.46)#(0.24, 1.10, 0.42)#(0.24, 1.08, 0.45)#(0.24, 1.06, 0.46)#(0.26, 1.10, 0.42)#(0.26, 1.09, 0.45)#(0.25, 1.06, 0.46)#(0.28, 1.08, 0.37)#(0.28, 1.09, 0.41)#(0.27, 1.08, 0.44)#(0.27, 1.07, 0.45)#(0.21, 1.03, 0.45)#(0.22, 1.04, 0.46)#(0.24, 1.04, 0.46)#(0.25, 1.04, 0.46)#(0.26, 1.05, 0.45)
2/22/2024 12:27:44 PM#(0.26, 1.07, 0.34)#(0.26, 1.07, 0.34)#(0.25, 1.07, 0.36)#(0.23, 1.06, 0.37)#(0.22, 1.05, 0.40)#(0.22, 1.04, 0.43)#(0.22, 1.10, 0.42)#(0.22, 1.07, 0.44)#(0.22, 1.05, 0.45)#(0.24, 1.10, 0.42)#(0.24, 1.08, 0.45)#(0.24, 1.06, 0.46)#(0.26, 1.10, 0.42)#(0.26, 1.09, 0.45)#(0.25, 1.06, 0.46)#(0.28, 1.08, 0.37)#(0.28, 1.09, 0.41)#(0.27, 1.08, 0.44)#(0.27, 1.07, 0.45)#(0.21, 1.03, 0.45)#(0.22, 1.04, 0.46)#(0.24, 1.04, 0.46)#(0.25, 1.04, 0.46)#(0.26, 1.05, 0.45)
2/22/2024 12:27:44 PM#(0.26, 1.07, 0.34)#(0.26, 1.07, 0.34)#(0.25, 1.07, 0.36)#(0.23, 1.06, 0.37)#(0.22, 1.05, 0.40)#(0.22, 1.05, 0.43)#(0.22, 1.10, 0.42)#(0.22, 1.07, 0.44)#(0.22, 1.05, 0.45)#(0.24, 1.10, 0.42)#(0.24, 1.08, 0.45)#(0.24, 1.06, 0.46)#(0.26, 1.10, 0.42)#(0.26, 1.09, 0.45)#(0.25, 1.06, 0.46)#(0.28, 1.08, 0.37)#(0.28, 1.09, 0.41)#(0.27, 1.08, 0.44)#(0.27, 1.07, 0.45)#(0.21, 1.04, 0.44)#(0.22, 1.04, 0.46)#(0.24, 1.04, 0.46)#(0.25, 1.04, 0.46)#(0.26, 1.05, 0.45)
2/22/2024 12:27:44 PM#(0.26, 1.07, 0.34)#(0.26, 1.07, 0.34)#(0.25, 1.07, 0.36)#(0.23, 1.06, 0.37)#(0.22, 1.05, 0.40)#(0.22, 1.05, 0.43)#(0.22, 1.10, 0.42)#(0.22, 1.07, 0.44)#(0.22, 1.05, 0.45)#(0.24, 1.10, 0.42)#(0.24, 1.08, 0.45)#(0.24, 1.06, 0.46)#(0.26, 1.10, 0.42)#(0.26, 1.09, 0.45)#(0.25, 1.06, 0.46)#(0.28, 1.08, 0.37)#(0.28, 1.09, 0.41)#(0.27, 1.08, 0.44)#(0.27, 1.07, 0.45)#(0.21, 1.04, 0.44)#(0.22, 1.04, 0.46)#(0.24, 1.04, 0.46)#(0.25, 1.04, 0.46)#(0.26, 1.05, 0.45)
2/22/2024 12:27:44 PM#(0.26, 1.07, 0.34)#(0.26, 1.07, 0.34)#(0.25, 1.07, 0.36)#(0.23, 1.06, 0.37)#(0.22, 1.05, 0.40)#(0.22, 1.05, 0.43)#(0.22, 1.10, 0.42)#(0.22, 1.07, 0.44)#(0.22, 1.05, 0.45)#(0.24, 1.10, 0.42)#(0.24, 1.08, 0.45)#(0.24, 1.06, 0.46)#(0.26, 1.10, 0.42)#(0.26, 1.09, 0.45)#(0.25, 1.06, 0.46)#(0.28, 1.08, 0.37)#(0.28, 1.09, 0.41)#(0.27, 1.08, 0.44)#(0.27, 1.07, 0.45)#(0.21, 1.04, 0.44)#(0.22, 1.04, 0.46)#(0.24, 1.04, 0.46)#(0.25, 1.04, 0.46)#(0.26, 1.05, 0.45)
2/22/2024 12:27:44 PM#(0.26, 1.07, 0.34)#(0.26, 1.07, 0.34)#(0.25, 1.07, 0.35)#(0.23, 1.07, 0.37)#(0.22, 1.05, 0.40)#(0.22, 1.05, 0.43)#(0.22, 1.10, 0.42)#(0.22, 1.08, 0.44)#(0.22, 1.06, 0.45)#(0.24, 1.10, 0.42)#(0.24, 1.08, 0.45)#(0.24, 1.06, 0.46)#(0.26, 1.10, 0.42)#(0.26, 1.09, 0.45)#(0.25, 1.06, 0.46)#(0.28, 1.08, 0.37)#(0.28, 1.09, 0.41)#(0.27, 1.08, 0.44)#(0.27, 1.07, 0.45)#(0.21, 1.04, 0.44)#(0.22, 1.04, 0.46)#(0.24, 1.04, 0.46)#(0.25, 1.04, 0.46)#(0.26, 1.05, 0.45)
