3/3/2024 10:38:46 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.04, -0.02, -0.02)#(-0.05, -0.04, -0.03)#(-0.07, -0.05, -0.06)#(-0.10, -0.01, -0.01)#(-0.13, 0.00, -0.02)#(-0.16, 0.00, -0.02)#(-0.10, 0.00, 0.01)#(-0.14, 0.01, 0.02)#(-0.16, 0.01, 0.02)#(-0.09, -0.01, 0.03)#(-0.13, 0.00, 0.04)#(-0.15, 0.00, 0.05)#(-0.03, -0.01, 0.04)#(-0.08, -0.01, 0.05)#(-0.10, -0.01, 0.07)#(-0.12, -0.01, 0.08)#(-0.08, -0.06, -0.08)#(-0.18, 0.01, -0.02)#(-0.19, 0.02, 0.02)#(-0.17, 0.01, 0.05)#(-0.14, -0.01, 0.09)
3/3/2024 10:38:46 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.04, -0.02, -0.01)#(-0.05, -0.04, -0.03)#(-0.07, -0.06, -0.05)#(-0.10, -0.01, -0.01)#(-0.13, 0.00, -0.01)#(-0.16, 0.00, -0.01)#(-0.10, 0.00, 0.01)#(-0.14, 0.00, 0.02)#(-0.16, 0.00, 0.03)#(-0.09, -0.01, 0.03)#(-0.13, 0.00, 0.04)#(-0.15, -0.01, 0.05)#(-0.03, -0.01, 0.04)#(-0.08, -0.01, 0.05)#(-0.10, -0.02, 0.06)#(-0.12, -0.03, 0.07)#(-0.08, -0.08, -0.06)#(-0.18, 0.00, -0.01)#(-0.19, 0.00, 0.03)#(-0.17, -0.02, 0.06)#(-0.14, -0.04, 0.08)
3/3/2024 10:38:46 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.04, -0.02, -0.01)#(-0.05, -0.04, -0.03)#(-0.07, -0.07, -0.05)#(-0.10, -0.01, -0.01)#(-0.13, 0.00, -0.01)#(-0.16, 0.00, -0.01)#(-0.10, 0.00, 0.01)#(-0.14, 0.00, 0.02)#(-0.16, 0.00, 0.03)#(-0.09, -0.01, 0.03)#(-0.13, 0.00, 0.05)#(-0.15, -0.01, 0.05)#(-0.03, -0.01, 0.04)#(-0.08, -0.01, 0.05)#(-0.10, -0.02, 0.06)#(-0.12, -0.03, 0.07)#(-0.08, -0.08, -0.06)#(-0.18, 0.00, -0.01)#(-0.19, -0.01, 0.03)#(-0.17, -0.02, 0.06)#(-0.14, -0.04, 0.08)
3/3/2024 10:38:46 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.04, -0.02, -0.01)#(-0.05, -0.04, -0.03)#(-0.07, -0.07, -0.05)#(-0.10, -0.01, -0.01)#(-0.13, 0.00, -0.01)#(-0.16, 0.00, -0.01)#(-0.10, 0.00, 0.01)#(-0.14, 0.00, 0.02)#(-0.16, 0.00, 0.03)#(-0.09, -0.01, 0.03)#(-0.13, 0.00, 0.05)#(-0.15, -0.01, 0.05)#(-0.03, -0.01, 0.04)#(-0.08, -0.01, 0.05)#(-0.10, -0.01, 0.07)#(-0.12, -0.01, 0.08)#(-0.08, -0.08, -0.06)#(-0.18, 0.00, -0.02)#(-0.19, 0.01, 0.03)#(-0.17, -0.01, 0.06)#(-0.14, -0.02, 0.09)
3/3/2024 10:38:46 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.04, -0.02, -0.01)#(-0.05, -0.04, -0.03)#(-0.07, -0.06, -0.05)#(-0.10, -0.01, -0.01)#(-0.13, 0.00, -0.01)#(-0.16, 0.00, -0.02)#(-0.10, 0.00, 0.01)#(-0.14, 0.00, 0.02)#(-0.16, 0.01, 0.03)#(-0.09, -0.01, 0.03)#(-0.13, 0.00, 0.05)#(-0.15, 0.00, 0.05)#(-0.03, -0.01, 0.04)#(-0.08, -0.01, 0.05)#(-0.10, -0.01, 0.07)#(-0.12, -0.01, 0.08)#(-0.08, -0.08, -0.07)#(-0.18, 0.01, -0.02)#(-0.19, 0.01, 0.03)#(-0.17, 0.00, 0.06)#(-0.13, 0.00, 0.10)
3/3/2024 10:38:46 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.04, -0.02, -0.01)#(-0.05, -0.04, -0.03)#(-0.07, -0.06, -0.05)#(-0.10, -0.01, -0.01)#(-0.13, 0.00, -0.01)#(-0.16, 0.00, -0.02)#(-0.10, 0.00, 0.01)#(-0.14, 0.00, 0.02)#(-0.16, 0.01, 0.03)#(-0.09, -0.01, 0.03)#(-0.13, 0.00, 0.04)#(-0.15, 0.00, 0.05)#(-0.03, -0.01, 0.04)#(-0.08, -0.01, 0.05)#(-0.10, -0.01, 0.07)#(-0.12, -0.01, 0.08)#(-0.08, -0.08, -0.07)#(-0.18, 0.01, -0.02)#(-0.19, 0.02, 0.03)#(-0.17, 0.00, 0.06)#(-0.13, 0.00, 0.09)
3/3/2024 10:38:46 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.04, -0.02, -0.01)#(-0.06, -0.04, -0.03)#(-0.08, -0.06, -0.05)#(-0.10, -0.01, -0.01)#(-0.13, 0.00, -0.01)#(-0.16, 0.00, -0.02)#(-0.10, 0.00, 0.01)#(-0.14, 0.00, 0.02)#(-0.16, 0.01, 0.02)#(-0.09, -0.01, 0.03)#(-0.13, 0.00, 0.04)#(-0.15, 0.00, 0.05)#(-0.03, -0.01, 0.04)#(-0.08, -0.01, 0.05)#(-0.10, -0.01, 0.07)#(-0.12, -0.01, 0.08)#(-0.08, -0.07, -0.07)#(-0.18, 0.01, -0.02)#(-0.19, 0.02, 0.03)#(-0.17, 0.01, 0.06)#(-0.14, 0.00, 0.09)
3/3/2024 10:38:46 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.04, -0.02, -0.01)#(-0.05, -0.04, -0.03)#(-0.08, -0.06, -0.05)#(-0.10, -0.01, -0.01)#(-0.13, 0.00, -0.01)#(-0.16, 0.00, -0.02)#(-0.10, 0.00, 0.01)#(-0.14, 0.00, 0.02)#(-0.16, 0.01, 0.02)#(-0.09, -0.01, 0.03)#(-0.13, 0.00, 0.04)#(-0.15, 0.00, 0.05)#(-0.03, -0.01, 0.04)#(-0.08, -0.01, 0.05)#(-0.10, -0.01, 0.07)#(-0.12, -0.01, 0.08)#(-0.08, -0.07, -0.07)#(-0.18, 0.01, -0.02)#(-0.19, 0.01, 0.03)#(-0.17, 0.00, 0.06)#(-0.14, -0.01, 0.09)
3/3/2024 10:38:46 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.04, -0.02, -0.01)#(-0.05, -0.04, -0.03)#(-0.08, -0.06, -0.05)#(-0.10, -0.01, -0.01)#(-0.13, 0.00, -0.01)#(-0.16, 0.00, -0.01)#(-0.10, 0.00, 0.01)#(-0.14, 0.00, 0.02)#(-0.16, 0.00, 0.02)#(-0.09, -0.01, 0.03)#(-0.13, 0.00, 0.04)#(-0.15, 0.00, 0.05)#(-0.03, -0.01, 0.04)#(-0.08, -0.01, 0.05)#(-0.10, -0.01, 0.07)#(-0.12, -0.01, 0.08)#(-0.09, -0.08, -0.06)#(-0.18, 0.01, -0.01)#(-0.19, 0.01, 0.03)#(-0.17, 0.00, 0.06)#(-0.14, -0.01, 0.09)
3/3/2024 10:38:46 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.05, -0.04, -0.02)#(-0.07, -0.06, -0.04)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, 0.00, -0.01)#(-0.09, 0.00, 0.01)#(-0.12, 0.00, 0.02)#(-0.15, 0.00, 0.02)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, 0.00, 0.05)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.09, -0.01, 0.06)#(-0.11, -0.02, 0.07)#(-0.08, -0.07, -0.06)#(-0.16, 0.01, -0.01)#(-0.17, 0.01, 0.03)#(-0.16, 0.00, 0.05)#(-0.13, -0.02, 0.08)
3/3/2024 10:38:46 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.05, -0.04, -0.02)#(-0.07, -0.05, -0.04)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, 0.00, -0.01)#(-0.09, 0.00, 0.01)#(-0.12, 0.00, 0.02)#(-0.15, 0.00, 0.02)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, 0.00, 0.05)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.09, -0.01, 0.06)#(-0.11, -0.02, 0.07)#(-0.08, -0.07, -0.06)#(-0.16, 0.01, -0.01)#(-0.17, 0.01, 0.03)#(-0.16, 0.00, 0.05)#(-0.13, -0.02, 0.08)
